"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RASPBERRYPI-ZERO","","","","RASPBERRYPI-ZERO:RASPBERRYPI-ZERO_RPI-ZERO",""
"C2,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22","12","100nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"
"C3,C4,C11","3","1uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf"
"D1","1","LED","","","","LED_SMD:LED_0402_1005Metric",""
"D2","1","ESDA5V3L","","","","Package_TO_SOT_SMD:SOT-23-3","https://www.st.com/resource/en/datasheet/esdal.pdf"
"J1","1","Conn_02x20_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"J2","1","AudioJack2_Ground_SwitchT","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3524N_Horizontal",""
"J3","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4085","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4","1","Conn_01x03","","","","Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal",""
"J8","1","Conn_01x02","","","","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal",""
"R1,R5","2","27Ω","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2205311845_UNI-ROYAL-Uniroyal-Elec-0603WAF270JT5E_C25190.pdf"
"R2,R3,R4","3","10kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"R6,R7","2","1kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.pdf"
"R11,R12","2","5.1kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF5101T5E_C23186.pdf"
"SW1,SW3","2","SW_SPST","","","","Button_Switch_SMD:SW_SPST_B3S-1000",""
"U2","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U3","1","RP2040","","","","PCM_JLCPCB:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"Y2","1","ASE-12MHz","","","","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","http://www.abracon.com/Oscillators/ASV.pdf"
