Designator,Footprint,Quantity,Value,LCSC Part #
A1,RASPBERRYPI-ZERO_RPI-ZERO,1,RASPBERRYPI-ZERO,
"C11, C3, C4",C_0603,3,1uF,C15849
"C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22",C_0603,12,100nF,C14663
D1,0402,1,LED,
D2,SOT-23-3,1,ESDA5V3L,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J2,Jack_3.5mm_CUI_SJ1-3524N_Horizontal,1,AudioJack2_Ground_SwitchT,
J3,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_14P,
J4,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,Conn_01x03,
J8,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02,
"R1, R5",R_0603,2,27Ω,C25190
"R11, R12",R_0603,2,5.1kΩ,C23186
"R2, R3, R4",R_0603,3,10kΩ,C25804
"R6, R7",R_0603,2,1kΩ,C21190
"SW1, SW3",SW_SPST_B3S-1000,2,SW_SPST,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
Y2,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,ASE-12MHz,
