Designator,Mid X,Mid Y,Rotation,Layer
A1,112.8336,-113.5267,0.0,top
C11,118.0836,-72.3012,0.0,top
C12,111.7336,-69.5512,90.0,top
C13,114.3336,-83.7512,270.0,top
C14,108.5336,-73.7012,90.0,top
C15,112.9836,-83.3012,270.0,top
C16,89.6336,-97.8512,0.0,top
C17,106.135143,-60.149657,45.0,top
C18,118.9836,-75.4012,0.0,top
C19,106.3216,-78.1692,180.0,top
C2,118.2836,-83.3012,180.0,top
C20,113.0836,-69.3012,90.0,top
C21,118.1836,-79.5012,270.0,top
C22,119.0836,-74.1012,0.0,top
C3,109.9836,-89.5012,0.0,top
C4,117.565479,-71.0012,0.0,top
D1,149.8686,-70.5012,180.0,top
D2,86.4961,-78.3012,180.0,top
J1,115.062,-44.45,270.0,top
J2,146.5586,-63.1012,90.0,top
J3,76.9136,-78.2762,270.0,top
J4,78.3336,-89.3512,270.0,top
J8,143.1386,-51.8512,90.0,top
M1,148.9936,-42.1012,0.0,top
M2,75.3336,-42.1012,0.0,top
M3,151.5336,-127.8312,0.0,top
M4,71.5236,-127.8312,0.0,top
R1,114.2836,-69.7812,270.0,top
R11,81.7836,-76.9512,0.0,top
R12,81.7836,-79.5512,0.0,top
R2,107.1836,-87.0512,270.0,top
R3,100.7836,-64.8012,225.0,top
R4,118.2836,-81.9012,180.0,top
R5,115.4836,-69.7812,270.0,top
R6,119.9336,-77.2012,0.0,top
R7,99.2636,-68.8012,0.0,top
SW1,146.594,-76.619,0.0,top
SW3,146.594,-87.211,0.0,top
U2,105.2461,-65.4162,315.0,top
U3,113.412,-77.134,90.0,top
Y2,109.8836,-87.1262,0.0,top
