Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC,1,Battery_Cell,
C1,C_0805,1,1uF,C28323
"C10, C2, C9",C_0805,3,4.7uF,C1779
C11,C_0805,1,100nF,C28233
C3,C_0805,1,22uF,C45783
C4,C_1206,1,100nF,C24497
"C5, C6, C7",C_1206,3,10uF,C13585
D1,D_0805,1,Green,C2297
D2,D_0805,1,Red,C84256
F1,1812,1,Polyfuse,
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
J2,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",1,RBF_Switch,
J3,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
"L1, L2",L_0805,2,"2.2uH,50mA",C1043
R1,R_0805,1,1MΩ,C17514
R10,R_0603,1,130kΩ,C22795
"R11, R12",R_0603,2,5.1kΩ,C23186
"R13, R14",R_0805,2,1.5kΩ,C4310
"R15, R16, R17",R_0603,3,1kΩ,C21190
R2,R_0805,1,180kΩ,C17501
R3,R_1206,1,100Ω,C17901
R4,R_0603,1,180kΩ,C22827
R5,R_0603,1,3kΩ,C4211
R6,R_1206,1,120Ω,C17909
TH2,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,10K,
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,
U2,Texas_S-PVSON-N10_ThermalVias,1,TPS61200DRC,
U3,Texas_DRC0010J_ThermalVias,1,TPS63001,
