Designator,Mid X,Mid Y,Rotation,Layer
BT1,94.744128,-99.255072,0.0,top
C1,101.144928,-52.333672,180.0,top
C10,99.621528,-76.205472,0.0,top
C11,97.621528,-72.805472,270.0,top
C2,108.637928,-54.568872,0.0,top
C3,102.160928,-54.619672,180.0,top
C4,87.911528,-54.670472,90.0,top
C5,83.991528,-55.695472,0.0,top
C6,81.27701,-49.49399,45.0,top
C7,86.895528,-49.717472,135.0,top
C9,91.421528,-76.905472,180.0,top
D1,53.371528,-70.255472,270.0,top
D2,53.371528,-74.755472,90.0,top
F1,60.606528,-85.945472,180.0,top
J1,94.833728,-117.141872,0.0,top
J2,127.004028,-60.555472,90.0,top
J3,97.159928,-38.124272,270.0,top
L1,105.011528,-56.245272,90.0,top
L2,79.783528,-54.035472,270.0,top
M1,133.631528,-121.505472,270.0,top
M2,53.621528,-121.505472,270.0,top
M3,131.091528,-35.775472,270.0,top
M4,57.431528,-35.775472,270.0,top
R1,103.264995,-46.958939,315.0,top
R10,93.021528,-72.605472,0.0,top
R11,98.371528,-111.505472,0.0,top
R12,98.371528,-112.755472,0.0,top
R13,62.531528,-73.505472,0.0,top
R14,62.531528,-71.255472,0.0,top
R15,96.721528,-69.305472,270.0,top
R16,88.421528,-73.005472,0.0,top
R17,93.021528,-73.905472,0.0,top
R2,106.531528,-44.125472,0.0,top
R3,85.371528,-60.639472,180.0,top
R4,88.421528,-71.805472,0.0,top
R5,95.221528,-71.885472,270.0,top
R6,93.221528,-68.605472,90.0,top
TH2,79.501528,-84.805472,180.0,top
U1,95.471028,-76.293472,0.0,top
U2,105.072528,-51.417472,90.0,top
U3,83.961528,-52.545472,0.0,top
