Designator,Footprint,Quantity,Value,LCSC Part #
C10,C_0603,1,470nF,C1623
C11,C_0603,1,220nF,C21120
"C15, C16, C17, C18, C19, C20, C21",C_0603,7,100nF,C14663
C2,C_0603,1,10uF,C96446
C4,C_0603,1,2.2nF,C1604
C9,Filter_Mini-Circuits_FV1206-7,1,C_Feedthrough,
"D1, D2, D3, D4",LED_D8.0mm,4,LED,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J3,SMA_Amphenol_132134-11_Vertical,1,Conn_Coaxial,
J4,IPEX-SMD_BWIPX-1-001E,1,U.FL,C5137195
L1,0603,1,27nH,
R1,R_0603,1,4.7kΩ,C23162
"R10, R7, R8",R_0603,3,10kΩ,C25804
"R14, R4, R5, R9",R_0603,4,330Ω,C23138
R2,R_0603,1,10Ω,C22859
"R3, R6",R_0603,2,510Ω,C23193
U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U2,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U3,XCVR_NEO-7M-0,1,NEO-7M-0,
U4,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,
U5,LPCC16_HNW,1,HMC5883L,
