Designator,Mid X,Mid Y,Rotation,Layer
C10,161.544,-92.4814,270.0,top
C11,162.179,-89.916,0.0,top
C15,155.829,-92.583,90.0,top
C16,159.4866,-88.6206,0.0,top
C17,139.3952,-94.9452,0.0,top
C18,135.6106,-94.3864,0.0,top
C19,141.1732,-91.5162,90.0,top
C2,169.8678,-109.601,180.0,top
C20,152.2222,-104.8692,270.0,top
C21,155.5496,-105.3084,180.0,top
C4,139.4968,-87.8078,0.0,top
C9,175.5102,-130.1242,0.0,top
D1,109.9058,-81.694867,0.0,top
D2,109.9058,-93.565134,0.0,top
D3,109.9058,-105.4354,0.0,top
D4,109.9058,-117.305667,0.0,top
J1,150.4188,-61.4934,270.0,top
J3,129.032,-137.668,0.0,top
J4,182.753,-130.048,0.0,top
L1,179.7812,-130.0988,0.0,top
R1,137.2362,-96.7994,270.0,top
R10,144.526,-70.0024,180.0,top
R14,116.8146,-103.3018,270.0,top
R2,177.4952,-128.0922,180.0,top
R3,172.2374,-108.9406,90.0,top
R4,116.586,-79.1718,270.0,top
R5,116.5352,-91.2876,270.0,top
R6,173.5836,-108.9406,90.0,top
R7,173.228,-126.746,0.0,top
R8,144.5006,-71.6534,180.0,top
R9,118.618,-116.459,270.0,top
U1,154.2714,-103.0314,90.0,top
U2,137.902,-91.1294,0.0,top
U3,175.962,-118.2314,90.0,top
U4,136.065,-121.4308,270.0,top
U5,158.634999,-91.3789,0.0,top
