"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2","1","10uF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A106MA8NRNC_C96446.pdf"
"C4","1","2.2nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B222K500NT_C1604.pdf"
"C9","1","C_Feedthrough","","","","Filter:Filter_Mini-Circuits_FV1206-7",""
"C10","1","470nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10B474KA8NNNC_C1623.pdf"
"C11","1","220nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10B224KA8NNNC_C21120.pdf"
"C15,C16,C17,C18,C19,C20,C21","7","100nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2211101700_YAGEO-CC0603KRX7R9BB104_C14663.pdf"
"D1,D2,D3,D4","4","LED","","","","LED_THT:LED_D8.0mm",""
"J1","1","Conn_02x20_Odd_Even","","","","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"J3","1","Conn_Coaxial","","","","Connector_Coaxial:SMA_Amphenol_132134-11_Vertical",""
"J4","1","U.FL","","","","PCM_JLCPCB:IPEX-SMD_BWIPX-1-001E","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2208151830_BAT-WIRELESS-BWU-FL-IPEX1_C5137195.pdf"
"L1","1","27nH","","","","Inductor_SMD:L_0603_1608Metric",""
"M1,M2,M3,M4","4","HOLE","","","","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad",""
"R1","1","4.7kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF4701T5E_C23162.pdf"
"R2","1","10Ω","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF100JT5E_C22859.pdf"
"R3,R6","2","510Ω","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF5100T5E_C23193.pdf"
"R4,R5,R9,R14","4","330Ω","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF3300T5E_C23138.pdf"
"R7,R8,R10","3","10kΩ","","","","PCM_JLCPCB:R_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"U1","1","BME280","","","","Package_LGA:Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf"
"U2","1","MPU-6050","","","","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf"
"U3","1","NEO-7M-0","","","","NEO-7M-0:XCVR_NEO-7M-0",""
"U4","1","RFM95W-868S2","","","","RF_Module:HOPERF_RFM9XW_SMD","https://www.hoperf.com/data/upload/portal/20181127/5bfcbea20e9ef.pdf"
"U5","1","HMC5883L","","","","footprints:LPCC16_HNW","HMC5883L"
